code,lenght (cm),width (cm),height (cm),volum (m3),weight (kg),inventory (units)
272,10,8,5,0.0004,0.3,0
273,6,9,5,0.00027,0.01,62
274,8,5,3,0.00012,0.01,21
275,11,20,25,0.0055,0.16,7
276,13,24,20,0.00624,0.165,8
277,8,4,4,0.000128,0.1,0
278,5,4,4,0.00008,0.2,8
279,25,15,5,0.001875,0.2,0
280,25,20,4,0.002,0.02,3
281,84,10,2,0.00168,0.2,54
282,11,13,11,0.001573,0.075,11
283,26,28,7,0.005096,0.355,9
284,10,10,4,0.0004,0.01,43
285,10,10,5,0.0005,0.1,0
286,16,7,3,0.000336,0.005,61
287,50,30,20,0.03,4,0
288,50,25,20,0.025,3,0
289,6,4,4,0.000096,0.001,12
290,33,7,4,0.000924,0.065,25
291,49,18,1,0.000882,0.005,47
292,15,16,16,0.00384,0.025,33
293,10,10,5,0.0005,0.1,1
294,6,3,3,0.000054,0.1,5
295,30,30,20,0.018,0.8,0
296,27,27,15,0.010935,0.075,5
297,17,12,2,0.000408,0.005,66
298,8,2,25,0.0004,0.02,13
299,6,8,3,0.000144,0.1,1
300,27,15,10,0.00405,0.2,0
301,20,12,5,0.0012,0.105,0
302,6,8,3,0.000144,0.1,0
303,11,11,4,0.000484,0.01,10
304,6,8,3,0.000144,0.1,2
305,55,40,8,0.0176,3,30
306,55,40,8,0.0176,3,37
307,53,15,15,0.011925,3.7,31
308,6,8,3,0.000144,0.1,1
309,20,10,5,0.001,0.35,2
310,4,4,9,0.000144,0.005,28
311,5,5,5,0.000125,0.1,4
312,7,8,2,0.000112,0.001,4
313,6,6,3,0.000108,0.1,2
314,5,5,5,0.000125,0.2,0
315,27,15,5,0.002025,0.02,0
316,30,15,10,0.0045,0.2,67
317,20,3,8,0.00048,0.015,6
318,23,8,1,0.000184,0.02,16
319,39,10,4,0.00156,0.07,38
320,5,5,3,0.000075,0.001,913
321,7,5,3,0.000105,0.001,934
322,7,1,38,0.000266,0.005,24
323,80,60,20,0.096,3,8
324,10,10,5,0.0005,0.2,0
325,10,9,4,0.00036,0.01,1
326,27,11,6,0.001782,0.85,1
327,13,15,3,0.000585,0.01,3
328,6,4,3,0.000072,0.2,9
329,6,6,5,0.00018,0.2,37
330,7,7,6,0.000294,0.01,3
331,14,10,6,0.00084,0.04,13
332,14,10,6,0.00084,0.03,10
333,30,25,20,0.015,7,2
334,8,8,2,0.000128,0.1,0
335,18,1,2,0.000036,0.1,217
336,16,4,2,0.000128,0.005,46
337,30,25,10,0.0075,0.7,0
338,28,22,13,0.008008,0.5,16
339,34,18,18,0.011016,0.055,16
340,40,20,1,0.0008,0.02,69
341,13,8,8,0.000832,0.04,14
342,13,8,8,0.000832,0.035,39
343,130,10,5,0.0065,0.5,2
344,36,4,5,0.00072,0.1,0
345,26,15,7,0.00273,0.015,8
346,8,8,10,0.00064,0.35,312
347,7,7,15,0.000735,0.1,9
348,15,7,7,0.000735,0.1,5
349,11,8,8,0.000704,0.1,0
350,22,16,1,0.000352,0.005,1
351,10,5,5,0.00025,0.05,0
352,10,10,5,0.0005,0.1,0
353,185,80,36,0.5328,5,2
354,15,10,10,0.0015,1.5,0
355,7,2,2,0.000028,0.1,0
356,194,40,36,0.27936,3.35,1
357,46,23,13,0.013754,0.11,1
358,35,20,10,0.007,0.3,0
359,37,18,4,0.002664,0.02,56
360,15,15,5,0.001125,0.2,8
361,20,5,5,0.0005,0.3,2
362,3,3,10,0.00009,0.2,0
363,16,30,5,0.0024,0.01,7
364,35,25,15,0.013125,3.5,0
365,26,19,6,0.002964,0.025,8
